iter	Passed	Remaining
440	1294	1640
441	1297	1638
442	1300	1635
443	1304	1633
444	1307	1630
445	1309	1626
446	1312	1623
447	1315	1620
448	1317	1617
449	1320	1614
450	1323	1611
451	1327	1609
452	1329	1605
453	1332	1602
454	1334	1598
455	1337	1595
456	1339	1591
457	1342	1588
458	1345	1585
459	1348	1582
460	1352	1581
461	1355	1578
462	1358	1575
463	1361	1572
464	1363	1568
465	1366	1566
466	1369	1563
467	1372	1560
468	1374	1556
469	1377	1553
470	1379	1549
471	1382	1546
472	1385	1543
473	1389	1541
474	1392	1539
475	1395	1536
476	1398	1533
477	1400	1529
478	1403	1527
479	1406	1524
480	1409	1520
481	1412	1517
482	1414	1514
483	1417	1511
484	1420	1508
485	1423	1505
486	1426	1502
487	1429	1499
488	1431	1496
489	1435	1493
490	1438	1491
491	1441	1488
492	1444	1485
493	1447	1482
494	1450	1479
495	1453	1476
496	1456	1474
497	1458	1470
498	1461	1467
499	1464	1464
500	1467	1461
501	1469	1458
502	1472	1454
503	1475	1452
504	1479	1449
505	1482	1447
506	1485	1444
507	1488	1441
508	1492	1439
509	1495	1436
510	1498	1433
511	1501	1431
512	1504	1428
513	1507	1425
514	1510	1422
515	1514	1420
516	1517	1417
517	1520	1414
518	1525	1413
519	1527	1410
520	1531	1408
521	1534	1405
522	1537	1402
523	1540	1399
524	1542	1395
525	1545	1392
526	1548	1389
527	1551	1387
528	1554	1383
529	1557	1380
530	1559	1377
531	1562	1374
532	1567	1373
533	1570	1370
534	1574	1368
535	1577	1365
536	1580	1362
537	1582	1359
538	1584	1355
539	1587	1352
540	1590	1349
541	1593	1346
542	1596	1343
543	1599	1340
544	1602	1337
545	1605	1334
546	1608	1332
547	1612	1330
548	1615	1327
549	1618	1323
550	1620	1320
551	1623	1317
552	1626	1314
553	1628	1311
554	1631	1307
555	1633	1304
556	1635	1300
557	1638	1298
558	1641	1295
559	1644	1292
560	1647	1288
561	1649	1285
562	1652	1282
563	1654	1279
564	1658	1277
565	1661	1274
566	1664	1271
567	1667	1268
568	1670	1265
569	1673	1262
570	1676	1259
571	1679	1256
572	1682	1253
573	1685	1250
574	1688	1247
575	1691	1245
576	1693	1241
577	1696	1238
578	1699	1235
579	1702	1232
580	1705	1230
581	1708	1227
582	1711	1224
583	1714	1221
584	1717	1218
585	1719	1215
586	1722	1211
587	1725	1208
588	1727	1205
589	1730	1202
590	1733	1199
591	1737	1197
592	1740	1194
593	1743	1191
594	1748	1189
595	1751	1187
596	1754	1184
597	1758	1181
598	1761	1178
599	1764	1176
600	1767	1173
601	1770	1170
602	1772	1167
603	1775	1163
604	1777	1160
605	1780	1157
606	1782	1154
607	1786	1151
608	1789	1148
609	1793	1146
610	1796	1143
611	1799	1140
612	1802	1137
613	1804	1134
614	1807	1131
615	1810	1128
616	1812	1125
617	1815	1122
618	1818	1119
619	1821	1116
620	1824	1113
621	1826	1110
622	1828	1106
623	1831	1103
624	1834	1100
625	1837	1098
