iter	RMSE
143	814.2231573
144	813.8078822
145	813.1011897
146	812.7448754
147	812.3037947
148	811.8583039
149	811.6477294
150	811.1113478
151	810.7303983
152	810.0511127
153	809.4883425
154	808.9002985
155	807.9880838
156	807.6938866
157	807.5003833
158	807.2636958
159	806.5981463
160	806.0243534
161	805.4002985
162	804.8304122
163	803.8855165
164	803.0584743
165	802.4785722
166	801.7909477
167	801.2644543
168	800.914453
169	800.6186877
170	799.6866885
171	799.0841299
172	798.374018
173	797.9037763
174	797.3414493
175	796.8409603
176	795.9797156
177	795.6892362
178	795.2632387
179	794.3936767
180	793.9249432
181	793.4969789
182	792.8094383
183	792.5141498
184	791.5244119
185	790.825735
186	790.2306703
187	789.4485203
188	788.84837
189	788.0552715
190	787.6373616
191	787.0064528
192	786.3766905
193	786.1905543
194	785.7221875
195	784.945361
196	784.6970292
197	784.3815901
198	783.9809523
199	783.5561989
200	783.0018276
201	782.7024478
202	781.8225864
203	781.4745905
204	780.3810438
205	779.3754927
206	778.9097466
207	777.9897534
208	777.5368391
209	777.3331399
210	776.8869223
211	776.2221704
212	775.11282
213	774.5532215
214	774.4005191
215	774.0708374
216	773.7012124
217	773.5004518
218	772.3463369
219	771.6968072
220	771.3322014
221	770.7101517
222	770.3015239
223	769.9625307
224	769.6286922
225	769.4336624
226	768.5618928
227	768.026158
228	766.950238
229	766.1023135
230	765.9100141
231	765.1377902
232	764.9246252
233	764.0824972
234	763.7387016
235	763.6138122
236	762.8817771
237	762.556004
238	762.299172
239	761.7744442
240	760.629826
241	760.304703
242	759.3241791
243	758.8841049
244	758.0921426
245	757.7569358
246	757.2013275
247	756.8488395
248	756.3696402
249	755.9474828
250	755.3723982
251	754.6369441
252	754.4311681
253	753.7793455
254	753.5936185
255	753.1235655
256	752.6877106
257	751.8462309
258	751.014997
259	750.4788515
260	749.4309672
261	749.267797
262	748.8572929
263	748.5189263
264	748.3344641
265	746.7533091
266	746.2775846
267	745.8847342
268	745.3989019
269	744.8686023
270	744.7492774
271	744.2425911
272	743.5527513
273	742.8979547
274	742.0500157
275	741.6458663
276	740.9218413
277	740.7660328
278	740.3408606
279	739.9138432
280	739.1883252
281	738.5047674
282	737.7096465
283	737.5577685
284	736.9232869
285	736.7505569
286	735.9815491
287	735.209129
288	734.3712679
289	733.9887647
290	733.8427351
291	732.9227114
292	732.1390762
293	731.5199788
294	731.1151429
295	730.8132382
296	730.4979945
297	729.6494691
298	729.5601927
299	728.9035068
300	728.1412403
301	727.4976388
302	726.6638099
303	726.1489594
304	724.8826631
305	724.1625195
306	723.602365
307	723.2551809
308	722.7222292
309	722.0534289
310	721.996824
311	721.369707
312	721.2752467
313	720.9845649
314	720.2007631
315	720.0682504
316	719.4382973
317	718.9371373
318	718.6106135
319	718.3603146
320	717.9716675
321	717.7383466
322	717.2695864
323	716.562623
324	716.1668037
325	715.5948736
326	715.4057943
327	714.9214627
328	714.3121112
329	713.6344654
330	713.2262409
331	712.7168619
332	712.4827893
333	712.130662
334	711.7555945
335	711.3127264
336	710.5208206
337	709.9949918
338	709.528295
339	709.3244303
340	709.1304895
341	708.8504054
342	708.6327484
343	708.3645805
344	707.3493283
345	706.9169132
346	706.1456845
347	705.7365958
348	704.6393037
349	704.1820328
350	703.7570729
351	703.1723245
352	703.0302829
353	702.698795
354	702.5118686
355	702.3800887
356	702.253392
357	701.8762518
358	701.2418579
359	701.0431838
360	700.7815199
361	699.9582592
362	699.6188016
363	698.6786114
364	698.5533748
365	698.0544964
366	697.732113
367	697.1847171
368	696.3194788
369	696.0898619
370	695.8414966
371	695.4489249
372	694.9396514
373	694.3694203
374	693.6845133
375	693.2449539
376	692.720635
377	692.4704084
378	692.0719078
379	691.8353233
380	691.0361579
381	690.2847528
382	689.5077803
383	689.1046174
384	688.7251248
385	687.2961684
386	687.0476482
387	686.7745337
388	686.6461591
389	685.9278822
390	685.5666263
391	684.9265523
392	684.5700672
393	684.3290406
394	684.0290456
395	683.4197454
396	683.2313186
397	682.5333065
398	681.6449413
399	681.327371
400	681.1489109
401	680.9639225
402	680.8407097
403	680.4934579
404	680.1603268
405	679.874785
406	679.6644007
407	679.229193
408	679.0083005
409	678.6243026
410	678.1657489
411	677.7796967
412	677.545383
413	677.2316857
414	676.6400434
415	676.4767197
416	676.1802365
417	675.8939316
418	675.7251522
419	675.2707681
420	674.8843728
421	674.2365003
422	674.0186183
423	673.3486274
424	673.0498161
425	672.6983435
426	672.3769741
427	672.056379
428	671.5942949
429	670.9785175
430	670.3340993
431	669.8483596
432	669.5886499
433	669.2484313
434	668.7130696
435	668.414975
436	667.9906348
437	667.7092269
438	667.3969585
439	667.1320654
440	666.4908569
441	666.1503131
442	665.8355948
443	665.5133245
444	665.4149881
445	665.1418824
446	664.8957746
447	664.4791261
448	664.0166219
449	663.4342027
450	663.0730596
451	662.4712663
452	662.0530707
453	661.8187984
454	661.4652374
455	660.576063
456	660.2349245
457	659.70235
458	659.545773
459	659.296129
460	659.1177314
461	658.8752027
462	658.4216595
463	657.5990339
464	657.0928055
465	656.1619781
466	655.8683127
467	655.6145907
468	655.3128778
469	655.1019443
470	654.9444105
471	654.5463824
472	653.862785
473	653.8064221
474	653.4368429
475	653.0556543
476	652.7474546
477	652.3554992
478	651.620158
479	650.9316777
480	650.7538174
481	650.3653085
482	649.9101878
483	649.5477519
484	648.7928488
485	648.5160498
486	648.2617386
487	648.1543733
488	647.7128494
489	647.3921761
490	646.8030352
491	646.315719
492	645.9075843
493	645.3199685
494	644.6000314
495	643.9496875
496	643.3666761
497	642.8115502
498	642.2274944
499	641.8638281
500	641.7763787
501	641.2707775
502	640.9236719
503	640.4111468
504	640.0889187
505	639.8847396
506	639.5732593
507	639.2457734
508	638.7753274
509	638.4790972
510	638.3433523
511	637.1107036
512	636.8921579
513	636.6029938
514	636.0409095
515	635.322775
516	635.2061622
517	635.0777774
518	634.7960475
519	634.3368706
520	634.018593
521	633.6246301
522	633.4032534
523	632.8542436
524	632.5587139
525	632.3760776
526	632.0857961
527	631.3373057
528	630.5063763
529	629.9618793
530	629.7339675
531	629.3196015
532	628.8156806
533	628.5530529
534	627.86677
535	627.3143668
536	627.1238097
537	626.6918957
538	626.6002157
539	626.0755743
540	625.7820769
541	625.5252178
542	625.3030318
543	625.0008201
544	624.5057606
545	624.4397109
546	623.8732472
547	623.6458455
548	623.2084015
549	623.024844
550	622.7357174
551	622.2456255
552	621.9850807
553	621.7449787
554	621.4108594
555	620.9966847
556	620.605694
557	620.3687721
558	619.938854
559	619.6748456
560	619.4125991
561	618.9613747
562	618.5442224
563	617.9374594
564	617.762294
565	617.5390806
566	617.1493448
567	616.5816811
568	616.1654914
569	615.7515238
570	615.4653055
571	615.2996923
572	615.2037132
573	614.308316
574	614.0517228
575	613.565081
576	612.9084463
577	612.6985273
578	612.4239664
579	612.0420797
580	611.7868203
581	611.6855392
582	611.3270801
583	611.0735472
584	610.7785564
585	610.4712823
586	610.3117862
587	609.5673418
588	608.9394335
589	608.4573955
590	607.4764988
591	606.4062581
592	605.9812729
593	605.7679047
594	605.5804352
595	605.1985853
596	604.9923661
597	604.5218261
598	603.5884189
599	603.2361634
600	603.0300648
601	602.6530087
602	602.2699312
603	602.1801851
604	601.5529873
605	601.3871026
606	601.1151324
607	600.6348004
608	600.2496723
609	599.9507235
610	599.7279117
611	599.1251285
612	598.8256756
613	598.5945712
614	598.2724466
615	597.7842006
616	597.4779079
617	597.2109426
618	596.9273591
619	596.4888121
620	596.0927643
621	595.8483526
622	595.6005416
623	595.3459999
624	594.8771652
625	594.6359336
626	594.2515925
627	593.8382793
628	593.4738139
629	593.2099505
630	592.4526857
631	591.9945868
632	591.7592294
633	591.0627923
634	590.9755854
635	590.803601
636	590.6902792
637	590.5255159
638	590.1243385
639	589.9022189
640	589.6943474
641	589.3795871
642	589.1352176
643	588.8243885
644	588.6458283
645	588.2484888
646	587.8534442
647	587.4398001
648	586.99128
649	586.168931
650	585.7839752
651	585.6492051
652	585.4561044
653	585.1083555
654	584.8554816
655	584.7048315
656	584.3533191
657	584.0879101
658	583.9774703
659	583.6244584
660	583.4623288
661	582.9587036
662	582.818229
663	582.4026071
664	582.0333258
665	581.7119522
666	581.1384466
667	580.8373276
668	580.4153107
669	579.8989855
670	579.8124751
671	579.4995093
672	578.8195378
673	578.5826288
674	578.2535729
675	577.7275922
676	577.4834998
677	577.2119397
678	576.6033961
679	576.046706
680	575.6922712
681	575.507546
682	575.0310465
683	574.7316707
684	574.4849531
685	574.4003242
686	573.9182271
687	573.835412
688	573.6251411
689	573.5440039
690	573.4633658
691	573.153262
692	572.8482931
693	572.4739612
694	572.3348386
695	571.7871005
696	571.4372456
697	571.1421746
698	569.9626548
699	569.7642754
700	569.5510523
701	569.4662051
702	569.1880853
703	568.8986087
704	568.2499271
705	567.8825756
706	567.6611594
707	567.518581
708	567.1767866
709	566.7866041
710	566.4468356
711	565.9045139
712	565.5811635
713	565.3410551
714	565.0101798
715	564.7136746
716	564.2189084
717	563.9670437
718	563.3315951
719	563.2211219
720	562.89732
721	562.675801
722	562.4188401
723	562.0656796
724	561.9902122
725	561.7130384
726	561.2526474
727	560.6674336
728	560.5604666
729	560.2570904
730	560.0458332
731	559.8908865
732	559.7600037
733	559.4666736
734	559.2960754
735	559.0968637
736	558.8961306
737	558.5398864
738	557.8936872
739	557.5875562
740	557.4359353
741	557.3580633
742	556.8772746
743	556.7441838
744	556.5169242
745	556.3228509
746	556.2853573
747	556.0772108
748	555.8297946
749	555.5396515
750	555.1557087
751	554.7928832
752	554.5265442
753	554.28215
754	554.1767693
755	553.8797479
756	553.7027874
757	553.5116132
758	553.2973869
759	552.8517591
760	552.4701149
761	551.8556446
762	551.3534074
763	551.1961876
764	550.9790845
765	550.8083952
766	549.9690853
767	549.8468817
768	549.6644199
769	549.5355561
770	548.9140073
771	548.7004973
772	548.4397191
773	548.2365563
774	547.8894308
775	547.4960095
776	547.3125873
777	547.0479289
778	546.7132647
779	546.5047076
780	546.3721291
781	545.9753788
782	545.535768
783	545.1316453
784	544.5491365
785	544.3091775
786	544.0531701
787	543.9630724
788	543.7186705
789	543.2674357
790	543.1651982
791	542.8640201
792	542.7080784
793	542.2530887
794	542.0314141
795	541.869613
796	541.5854575
797	541.3885297
798	541.2684826
799	540.9712266
800	540.779291
801	540.4162913
802	540.1346445
803	539.9173858
804	539.4246297
805	539.2243898
806	538.8841537
807	538.7578657
808	538.4862182
809	538.2873319
810	538.1196464
811	537.9697908
812	537.8282273
813	537.6092371
814	537.3869416
815	536.9985444
816	536.7103956
817	536.5370731
818	536.2765815
819	536.0690196
820	535.7842441
821	535.6624339
822	535.3542639
823	535.1658015
824	535.1285194
825	534.8620421
826	534.5770834
827	534.1930679
828	534.0743215
829	533.8951782
830	533.7562694
831	533.458305
